id,scene_id,type,speaker,description
1,2,description,,"ヘッドフォンに、サングラスのツーリングスタイルの植村一也（24）。"
2,2,description,,"ロードバイクのペダルを踏み、風を切って走っていく一也に『アバンタイトル』がかぶる。"
3,3,description,,"空と海が広がっている。"
4,3,description,,"軽快に走ってくる一也。"
5,3,description,,"と、横道から、フィンを乗せたマウンテンバイクがイン！"
6,3,description,,"あっという間に一也を抜き去るマウンテンバイク。"
7,3,dialogue,"一也","……"
8,3,description,,"マウンテンバイクに乗る少年？らしき背中。ミチルである。"
9,3,description,,"まるで少年にしか見えない服装と髪型をしている。"
10,3,description,,"一也スピードをあげ、ミチルを追い抜いていく。"
11,3,description,,"と、ミチルもスピードを上げ、追いつき、追い抜く。"
12,3,description,,"一也、意地になって加速し、猛スピードで一気にミチルを抜き去る。"
13,3,description,,"ロードバイクを止め、今来た道を振り返る一也。"
14,3,description,,"ミチルの姿はない。"
15,3,dialogue,"一也","……"
16,3,description,,"一也、再びペダルを踏み走っていく。"
17,4,description,,"ジンベエザメの巨体が、悠然と通り過ぎる。"
18,4,description,,"続いて、オニイトマキエイが飛ぶように泳いでいく。"
19,4,description,,"縦横無尽に泳いでいく魚たち。"
20,4,description,,"巨大なアクリルガラスの向こうは、まさに海洋のようだ。"
21,4,description,,"その前で、胡坐をかいて静かに魚たちを見つめている福原謙三（67）。"
22,4,description,,"この水族館の館長である。そこへ、係員がやって来て、"
23,4,dialogue,"係員","館長、そろそろ会議の時間です"
24,4,description,,"わかった、と手を上げる福原。"
25,5,description,,"ロードバイクに乗った一也、水族館へ入っていく。"
26,5,dialogue,"係員","自転車ダメですよ！"
27,5,description,,"ヘッドホンの一也、注意に気づかず、ロードバイクを担ぐとエスカレーターを降りていく。"
28,5,description,,"一也の目の前に、イルカプール、いるかスタジオ、オキちゃん劇場等が点在、さらにその向こうには、どこまでも青い海が広がっている。"
29,5,dialogue,"一也","（思わず見とれ）……"
30,5,description,,"エスカレーターを上がってくる福原。"
31,5,description,,"一也、景色に見とれたまま、降りて行く。"
32,5,description,,"福原、一也を見る。"
33,5,description,,"すれ違う二人。"
34,6,description,,"立ち入り禁止ゾーンに入っていく一也。"
35,6,description,,"×　　　　×　　　　×"
36,6,description,,"やってくる一也。"
37,6,description,,"プールサイドで、イルカを見ているミチルに気づく。"
38,6,dialogue,"一也","君、ここ関係者以外立ち入り……、あ、お前さっきの"
39,6,description,,"プイッと去っていくミチル。"
40,6,dialogue,"一也","（何だ、あいつ……？）"
41,7,description,,"入ってくる一也。"
42,7,dialogue,"一也","おはようございます"
43,7,description,,"誰もいない。"
44,7,dialogue,"一也","……"
45,7,description,,"と、奥の机から顔を上げる、海獣課・仲村圭一課長（38）。"
46,7,dialogue,"一也","(会釈して)……"
47,7,description,,"×　　　　×　　　　×"
48,7,description,,"一也が手持ちぶさたに立っている。"
49,7,description,,"奥の部屋から仲村が現われて、"
50,7,dialogue,"仲村","はいこれ"
51,7,description,,"スタッフのポロシャツを一也に差し出す。"
52,7,description,,"え？と受け取る一也。"
53,7,dialogue,"仲村","机は、あっちの片隅を使って"
54,7,description,,"指差した一角には、何もない空机。"
55,7,dialogue,"仲村","着替えたらみんなに紹介するから"
56,7,dialogue,"一也","……"
57,7,description,,"一也、スタッフ用のポロシャツの意味がわからず目で訴えるが"
58,7,dialogue,"仲村","あ、更衣室はそこ"
59,8,description,,"プールサイドにしゃがんでイルカの様子を見ている比嘉剛（25）と望月ユリ（25）。"
60,8,description,,"真新しいポロシャツに着替えた一也と仲村が階段を上がってくる。"
61,8,description,,"仲村、二人に声をかけ一也を紹介する。"
62,8,dialogue,"仲村","今日からウチで働く獣医の植村一也君"
63,8,dialogue,"一也","よろしくお願いします（頭を下げる）"
64,8,dialogue,"仲村","飼育員の望月ユリと比嘉剛。飼育のことはこの２人に聞いて覚えるように"
65,8,dialogue,"一也","え、飼育？"
66,8,dialogue,"仲村","えーと、次は……"
67,8,description,,"さっさと行ってしまう仲村。"
68,8,dialogue,"一也","え、あ、あの、オレ獣医……"
69,8,description,,"言いながら後を追う一也。"
70,8,dialogue,"剛","あれ？　今年になって辞めたの、３人だっけ"
71,8,dialogue,"ユリ","４人。だから、５番目の獣医"
72,8,dialogue,"剛","いつまでもつかな……"
73,8,description,,"二人の見つめる先、他の飼育員たちに一也が紹介されている。"
74,9,description,,"ユリ、飼育員たちに混じって、一也がおぼつかない手つきでトビウオを切っている。"
75,9,description,,"ユリが、新たなトロ箱をまな板に乗せる。"
76,9,dialogue,"一也","……まだ切るんですか"
77,9,dialogue,"ユリ","１頭で１日10キロ、20頭いるから２００キロ以上。それを６回にわけて食べさせるのよ"
78,9,dialogue,"一也","１日中餌切りと餌やりですか"
79,9,dialogue,"剛","１年中だよ"
80,9,dialogue,"一也","……"
81,9,dialogue,"剛","ヒレちゃんと落とせよ。イルカが喉詰まらすから"
82,9,description,,"テキパキとトビウオを処理していく剛。"
83,9,description,,"一也、何か言いたい気持ちを抑えて餌切りに戻る。"
84,10,description,,"水が落とされたプールにイルカが４頭。どじょうのように体をくねらせている。"
85,10,description,,"ヘルメットに胴付ゴム長靴姿の一也が、ハシゴを降りていく。"
86,10,description,,"剛、ユリ、飼育員Ａ、Ｂ、Ｃが、専用担架にイルカを乗せようとしている。"
87,10,dialogue,"仲村","ウチにはイルカが全部で20頭いる。バンドウイルカが５頭、オキゴンドウが６頭、ミナミバンドウが６頭、カマイルカが２頭、シワハイルカが１頭だ"
88,10,dialogue,"一也","……はぁ"
89,10,dialogue,"仲村","今日中にイルカの顔と名前を覚えるように"
90,10,description,,"目の前のプールには、４頭のバンドウイルカ。"
91,10,dialogue,"一也","（４頭を見渡し）みんな同じ顔じゃないっすか"
92,10,dialogue,"仲村","傷や体の色で見分けろ。右からポイ、コニー、ダン、フジ"
93,10,dialogue,"一也","……"
94,10,description,,"専用担架に乗せられたイルカがクレーンで吊り上げられ、分銅を用いた天秤ばかりで体重測定される。"
95,10,description,,"×　　　　×　　　　×"
96,10,description,,"最後に一人残ってプールを掃除している一也。"
97,10,description,,"汗だくで、デッキブラシを壁面にこすりつけている。"
98,10,dialogue,"一也","（何でこんなことしなきゃ……）"
99,10,description,,"と、突然、頭の上に滝のような水が降ってくる。"
100,10,dialogue,"一也","うわっ！"
101,10,description,,"水流で床に投げ出され、フジの目の前に来る一也。"
102,10,description,,"フジ、バタバタと尾びれを振りながら逃げていく。"
103,10,description,,"一也、立ち上がりハシゴを昇っていくと、ユリが手を貸す。"
104,10,dialogue,"ユリ","植村君、ビッグマザーに嫌われちゃったね"
105,10,dialogue,"一也","ビッグマザー？　そんな名前いましたっけ？"
